"id","city","description","homeType","latitude","longitude","garageSpaces","hasSpa","yearBuilt","numOfPatioAndPorchFeatures","lotSizeSqFt","avgSchoolRating","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms"
1,"austin","Pride in ownership shows! Remodeled 1 story 3/2 in Colony North! Hot area 2N & 78758 Zipcode. This zip code has appreciated 9.5 % over last year. Updated windows throughout, fresh pottery barn color painted walls, new hot water heater, and new flooring throughout. Open floor plan and large private backyard. 2 car garage and screen in porch. Minutes from the North Lamar culinary scene. *Minutes from the Domain, Apple Headquarters, Riata, and UT Campus**Check price per SQFt this is a great deal!!**","Single Family",30.3561878204346,-97.7087936401367,2,FALSE,1969,2,8537,4,14,2,3
2,"austin","Enjoy endless views of the nature preserve from the expansive deck of  this beautifully updated home that sits on a quiet,  tree-covered cul-de-sac lot.  Master bath suite was totally renovated with spa-like feel, large walk-in shower, sitting tub. So many updates!  18x18 "" travertine marble floors, granite countertops, recessed lighting-kitchen, SS appliances, hardwood floors, custom cabinets-master bath, barn doors in office, and master bath.  Exceptional schools!","Single Family",30.4252681732178,-97.7972640991211,0,FALSE,1989,0,10367,9,16,3,4
3,"austin","Awesome opportunity in the desirable Sage Meadow neighborhood in 78748! This charming 3 bedroom/2.5 bath home with quality upgrades boasts a great layout with high ceilings & bright natural light, spacious bedrooms, kitchen with breakfast bar that opens to living area & covered patio to boot! Additional flex space on the second floor perfect for an office, playroom, etc. Only 2.5 miles from Southpark Meadows and easy access to shops, restaurants and both Mopac & I-35. Great home for both homeowners and investors alike. Pride in ownership shows, must see this gem!","Single Family",30.1743907928467,-97.8177719116211,4,TRUE,2012,2,7666,3.33333333333333,14,3,3
4,"austin","Gorgeous open living, dining, kitchen area with granite counter tops, stainless steel appliances & center island.   Amazing master suite with double vanity, walk in shower and large tub for relaxing. Texas sized back yard for lots of room to roam.  Great community amenities including, pool, playground, sports courts and gym. Rooftop Solar Included","Single Family",30.355583190918,-97.6176223754883,2,FALSE,2013,0,13939.2,5,11,2,3
5,"austin","Two miles from Downtown, one block from Blair Woods Nature Preserve, three blocks from Morris Williams Golf Course, Contemporary High-End Renovation including but not limited to ALL-NEW:  30-Year Roof, HVAC, IKEA Kitchen, Quartz Counters, Stainless Appliances, Windows, Doors, Trim, Paint, Wood-look Tile, Carpet, Custom Tile Work with Glass Accents, Water Heater, Plumbing & Lighting Fixtures, Garage Doors & Openers, Electrical Updating, etc. etc. etc.!!!","Single Family",30.2884483337402,-97.6755142211914,0,FALSE,1971,0,8624,3,15,2,3
6,"austin","4602 Sherwyn Dr, Austin, TX 78725 is a single family home that contains 1,745 sq ft and was built in 1971. It contains 4 bedrooms and 2 bathrooms. 
 
","Single Family",30.2816600799561,-97.661735534668,0,FALSE,1971,0,9452,3.66666666666667,14,2,4
7,"austin","Contemporary living in the heart of Austin! An optimal layout for living & entertaining, step through the front porch into an updated interior showcasing light-filled spaces with exceptional windows and high-end finishes including granite, soft close drawers, and more. Continue walking to the back of the home to the private first-floor bedroom or up to the secluded master with incredible closet storage areas. Retreat to the alluring, sizable balcony w/ wood burning fire pit to enjoy sunrises & sunsets.","Condo",30.2569675445557,-97.7280883789062,1,FALSE,2015,1,3428,4,11,2,2
8,"austin","Investment opportunity in the popular 78744.  This 3/2 home is situated on a large .3 acre corner lot in the Hot South East Austin market.  The fully fenced yard comes equipped with a rolling gate allowing you to easy park a RV, trailer, or boat on the rear drive in the back yard. Close to downtown Austin, IH-35, Hwy 71, and many restaurants and retail centers.  AISD Schools!","Single Family",30.1886711120606,-97.7546997070312,0,FALSE,1976,1,9539,3,12,2,3
9,"austin","Amazing South Austin Gem sitting on a rare over sized corner .38 acres.","Single Family",30.2039623260498,-97.786491394043,2,FALSE,1970,0,16552.8,4,14,2,4
10,"austin","5217 Bluestar Dr, Austin, TX 78739 is a single family home that contains 2,345 sq ft and was built in 2002. It contains 4 bedrooms and 3 bathrooms. 
 
","Single Family",30.1937522888184,-97.8700256347656,0,FALSE,2002,1,9496,9,18,3,4
11,"austin","Come snag this deal, great location with a great price.  The curb appeal and outdoor spaces have been upgraded and will be great for entertaining and animals. The back porch has a covered gazebo and a zeroscaped dog play area, private fenced landscaped backyard with a dog window. Cant beat the location, 10 minutes to UT and downtown, 8 minutes to Mueller and 15 min to airport, Domain, COTA, Mc Kinney Falls etc.  Upgrades include, sprinkler system, alarm system with smart doorbell and side gate camera.","Single Family",30.2906970977783,-97.6680221557617,3,FALSE,2007,0,4704,3,15,1,2
12,"austin","9701 Derecho Bnd, Austin, TX 78737 is a single family home that contains 4,047 sq ft and was built in 2008. It contains 5 bedrooms and 4 bathrooms. 
 
","Single Family",30.2217102050781,-97.9331283569336,0,FALSE,2008,3,43995.6,8,18,4,5
13,"austin","Don't  miss out on this gorgeous condo in the heart of Mueller! Engaging split level floor plan, huge mstr bedroom/bath and a spacious covered outdoor patio. Experience  the eco-friendly, urban social lifestyle that Mueller has to offer & just 5 minutes from downtown Austin! Enjoy an evening walk through Muller's famed parks and trails or take a dip in the community exclusive pool! Convenient access just walking distance away to an amazing array of shops, groceries, restaurants and entertainment!","Condo",30.2975673675537,-97.7019882202148,3,FALSE,2011,0,1782,5,15,2,2
14,"austin","STUNNING PANORAMIC HILL COUNTRY VIEWS*GORGEOUS HANDSCRAPED HARDWOOD FLOORS*GREAT KITCHEN W/GRANITE COUNTERS, VIKING 6 BURNER STOVE & BOSCH DOUBLE OVENS*MASTER BATH UPGRADED W/FRAMELESS SHOWER, GRANITE & FIXTURES*DOUBLE CROWN MOLDING*DEDICATED STUDY W/BUILT-IN BOOKSHEVLES/CABINETS*UPDATED CARPET*RECESSED LIGHTING*WALL OF WINDOWS OVERLOOKING GREENBELT-CREATING EXCELLENT NATURAL LIGHT*BAY WINDOW*PRIVATE BACKYARD -POOL W/WATERFALL*HUGE FENCED SIDE YARD, PERFECT FOR KIDS/DOGS*FULL SPRINKLER SYSTEM*3 CAR GARAGE","Single Family",30.380163192749,-97.8295135498047,3,FALSE,1990,0,43995.6,7,16,5,5
15,"austin","Gorgeous estate home on almost 1 acre of privacy and a fire pit area!  Lot goes back much further than the fence.  Master down with 3 bedrooms up.  Beautiful backyard for entertaining features a pool and outdoor cabana with a fireplace. Almost all of the interior walls have new paint.  Beautiful wood floors are another bonus.  Large study downstairs and a spacious gameroom upstairs.  Acclaimed RRISD schools - Spicewood, Canyon Vista & Westwood.","Single Family",30.4442825317383,-97.8225402832031,3,FALSE,1999,1,39639.6,8.66666666666667,16,4,4
16,"austin","4404 Barrow Ave, Austin, TX 78751 is a single family home that contains 896 sq ft and was built in 1922. It contains 2 bedrooms and 1 bathroom. 
 
","Single Family",30.3059959411621,-97.7244262695312,1,FALSE,1922,2,6316,7.33333333333333,15,1,2
17,"austin","Hottest remodel in trendy East Austin! This home features 3 beds, 2 baths, plus a 1 bathroom detatched studio apartment in the back with a full kitchenette! Use it for extra income, a home office, yoga, whatever you want! Brand new Bosch appliances, walnut shelves, wood floors, and custom cabinetry throughout. Interior design by SLIC Designs.","Single Family",30.2766838073731,-97.7032089233398,0,FALSE,1946,1,5009,6.66666666666667,15,3,4
18,"austin","Ideally located in southeast Austin, this 2-story condominium is as spacious as a full-sized house! Unique floor plan boasts rare 3 master suites, each with its own bath and walk-in closet! Very large eat-in kitchen w/ lovely tile backsplash & lots of cabinetry! Enjoy serene views of the Texas skies & Onion Creek golf course from the beautiful downstairs patio or from the huge covered deck on the 2nd floor. Access everywhere via I-35 & 45 Toll! <10 mins to Southpark Meadows for shopping, cinema & eateries!","Condo",30.1346263885498,-97.7900085449219,0,FALSE,1980,2,2879,5.33333333333333,15,3,3
19,"austin","On a quiet street south of the bustling Mueller neighborhood sits your dream home. This private retreat has the solitude you've been seeking, while it boasts access to everything downtown and central Austin has to offer. Entertaining comes easy when you are able to utilize a kitchen perfect for any chef, ample interior living space and an oversized backyard complete with swimming pool and hot tub. This is a single-family home with no HOA that sits on 0.181 acres. Open House: Sunday, Dec 3, from 1 to 3 pm.","Single Family",30.2838706970215,-97.6963119506836,0,TRUE,2014,0,7884,6.66666666666667,15,3,4
20,"austin","Spacious 4/2.5 home on private lot, quiet street with pool & waterfall & 2 decks, perfect for outdoor entertaining; Kitchen has island, built-in appliances, breakfast bar; Formal living, formal dining(or study) w/French doors, downstairs bedroom(or office) & half bath; Upstairs, nice large master suite w/jetted tub, separate shower & walk-in closet; 2 other bedrooms up w/hall bath & extra vanity in one BR; Recent paint, sprinkler system; Walk to Mills, feeds to Gorzycki & Bowie;Walk to Escarpment Village.","Single Family",30.2165622711182,-97.8789978027344,1,FALSE,1993,0,7753,9,18,3,4
21,"austin","Come see this great, 2-story home in coveted Green Trails subdivision of Northwest Hills. New roof, electrical service and other updates in this 4 bdrm, 2.5 bath home with wood floors downstairs. Gorgeous family room with white stone fireplace, built-ins & wet bar. Recent carpeting, granite counter tops, and bathrooms w/updated features.  The expansive, quarter-acre lot has a great backyard seen from almost every room. Fabulous oaks, covered patio & detached workshop w/AC -- a real oasis. JCC nearby!","Single Family",30.3630065917969,-97.7522964477539,0,FALSE,1979,3,11325.6,7,16,3,4
